question_id,question,section_path,section_link,answer
266,What are the advanced recording options available in my device camera?,Apps>Samsung apps>Camera>Camera settings,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/camera_d1e10944.html,"Use the icons on the main camera screen and the settings menu to configure your camera’s settings.From  Camera, tap  Settings for the following options:Videos. Advanced recording options: Enhance your videos with advanced recording formats.High efficiency video: Record videos in HEVC format to save space. Other devices or sharing sites may not support playback of this format.HDR10+ video: Optimize videos by recording in HDR10+. Playback devices must support HDR10+ video."
37,How can I turn on the GPS ?,Settings>Lock screen and security>Location,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/location_d1e21338.html,"Location services use a combination of GPS, mobile network and Wi-Fi to determine the location of your device. From Settings, tap  Location. Tap  to turn on Location services."
575,How to apply custom themes for AOD?,Getting started>Start using your device>Always On Display>AOD themes,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/always_on_display_d1e7639.html,"Apply custom themes for Always On Display. From a Home screen, touch and hold the screen, and tap  Wallpaper > Explore more wallpapers > AODs. Tap an AOD to preview and download it to My Always On Displays. Tap  My page > AODs to see downloaded AODs. Tap an AOD, and then tap Apply."
518,How can I show notifications on always display?,Settings>Lock screen and security>Screen lock types>Clock and information,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/lock_screen_and_security_d1e20562.html#d1e20571,"You can configure features that appear on the Lock screen, like the clock and other useful information. From Settings, tap  Lock screen for the following options: Notifications: Select which notifications to display on the Lock screen and Always On Display screen."
481,How can I use time zone converter?,Apps>Samsung apps>Clock>Time zone converter,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/clock_d1e11685.html,"Set a time in a city on your World clock list to see what the local times would be in the other listed cities.From  Clock, tap World clock.Tap  More options > Time zone converter.Tap  Menu to choose a different city.To add a city to the list, tap  Add city.Swipe the hours, minutes, and period (AM or PM) on the clock to set a time. Local times for the other cities listed are automatically updated.To return the clock to the current time, tap Reset."
404,How can I customize my mobile hotspot's security and connection settings?,Settings>Connections>Mobile hotspot>Configure mobile hotspot settings,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/mobile_hotspot_d1e17296.html,"You can customize your mobile hotspot's security and connection settings.From Settings, tap  Connections > Mobile hotspot and tethering > Mobile hotspot.Tap  More options > Configure mobile hotspot for the following settings:Network name: View and change the name of your Mobile hotspot.Hide my device: Prevent your Mobile hotspot from being discoverable by other devices.Security: Choose the security level for your Mobile hotspot.Password: If you choose a security level that uses a password, you can view or change it.Power saving mode: Reduce battery usage by analyzing hotspot traffic.Protected management frames: Enable this feature for additional privacy protections."
494,Where I can view my deleted notes?,Apps>Samsung apps>Samsung Notes>Notes menu,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/samsung_notes_d1e10273.html,"You can view your notes by category. From  Samsung Notes, tap  Navigation drawer for the following options: Trash: View deleted notes for up to 15 days. "
218,How can I enable screenshot toolbar?,Apps>Samsung apps>Gallery>Screenshot Settings,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/gallery_d1e13239.html,"Control screenshot and screen recorder settings.From Settings, tap  Advanced features > Screenshots and screen recorder.Screenshot toolbar: Show additional options after you take a screenshot."
38,Can I unlock my device by just touching the Power key?,Getting started>Start using your device>Flexible security>Fingerprint verification settings,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/flexible_security_d1e7769.html,"Use fingerprint recognition to verify your identity in supported apps and actions. From Settings, tap  Biometrics and security > Fingerprints. Fingerprint always on: Wake and unlock your device by just touching the Power key. This is only available on the Galaxy S10e."
235,How can I optimize device storage ?,Settings>Device maintenance>Storage>Device storage,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/storage_d1e19484.html,"Quickly optimize your device’s storage, increasing available memory. From Settings, tap  Device care > Storage > Clean now."
530,How can I open email on my device?,Apps>Samsung apps>Email,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/email_d1e12936.html,"View and manage multiple email accounts in one app. To add an email account, see Add an email account.From Apps, tap  Email."
420,How to add the app button to the home screen?,Getting started>Start using your device>Customize your home screen>Home screen settings,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/customize_your_home_screen_d1e6478.html,"Customize your Home and Apps screens. From a Home screen, touch and hold the screen. Tap  Home screen settings to customize: Apps button: Add a button to the Home screen for easy access to the Apps screen."
268,How can I setup notification sound?,Settings>Sounds and vibration>Notification sound,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/sounds_and_vibration_d1e17967.html#d1e18249,"Choose a preset sound for all notification alerts.From Settings, tap  Sounds and vibration > Notification sound.Tap a sound to hear a preview and select it.You can also customize notifications sounds to be unique for each app using the App settings menu."
593,How can I transfer data from old device using smart switch?,Apps>Samsung apps>Smart Switch,http://downloadcenter.samsung.com/content/PM/202001/20200128062847846/EB/ATT_G970U_G973U_G975U_EN_FINAL_200110/smart_switch_d1e10661.html,"Use Smart Switch to transfer contacts, photos, and other content from your old device. For more information, see Transfer data from an old device."
