question_id,question,section_path,section_link,answer
121,How do you do remote support??,Troubleshooting>Getting Support>Getting support through Remote Management>How does Remote Support Work,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=106#manual,"You can easily get Samsung Remote Support service for your TV: 1. Call the Samsung Contact Center and ask for remote support. 2. Open the menu on your TV and go to the Support section. ( Settings>Support). 3. Select Remote Management, then read and agree to the service agreements. When the PIN screen appears, provide the PIN number to the agent. 4. The agent will then access your TV."
504,I want to change Game Mode settings. How to do this?,Picture and Sound>Setting the Viewing Environment for External Devices>Playing games on an optimized screen,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=90#manual,"You can optimize the TV for viewing specific video formats. Settings>General>External Device Manager>(Game Mode Settings)>Game Mode. You can enable game mode to optimize the TV's settings for playing video games with a gaming console, such as a PlayStation™ or Xbox™. The Game Mode Settings may not appear depending on the model. The game mode is not available for normal TV viewing. The screen may shake somewhat. When Game Mode is enabled, Picture Mode and Sound Mode are switched to Game automatically. To use a different external device on the same port, remove the game console connection, turn off Game Mode, and then connect the external device to the port."
590,What are the steps to connect my mobile device to the TV?,Connections>Connecting Your Mobile Device,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=31#manual,"Connect your mobile device to the TV on the same network to control the TV with the mobile device or enjoy the content of the mobile device on the TV. Use the SmartThings app on your mobile device to quickly and easily connect to the TV and control its main settings. In addition, you can remotely check and control the statuses of various devices such as Samsung smart devices, home appliances, and speakers registered to the server. Make sure that your TV supports SmartThings. You can check this with the Supported Device menu in the SmartThings app. To use the SmartThings app, you must be signed in to your Samsung account on the TV. This function may not be supported depending on the TV model or mobile device. The supported functions may differ depending on the version of the SmartThings app. You can install the SmartThings app from App Store or Google Play Store."
609,Can I change TV screen to Grayscale mode?,System and Support>Using Other Functions>Setting the screen to black and white,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=102#manual,"Settings>General>Accessibility>Grayscale. You can change the color of the TV screen to black and white to sharpen blurred edges caused by colors. If Grayscale is on, some Accessibility menus are not available. This function may not be supported depending on the model or geographical area."
299,How do I install apps on the TV?,Accessibility Guidance>Using Smart Hub>Using the Home Screen in Smart Hub,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=163#manual,"On the leftmost part of the Home Screen in Smart Hub is the static menu listed below. You can quickly and easily use the listed menu items to access the main TV settings or external devices, search, and apps. APPS. You can enjoy a wide range of content including news, sports, weather, and games by installing the corresponding apps on your TV. To use this feature, the TV must be connected to the Internet. For more information, refer to 'Using the APPS Service.'"
242,How do I use Voice Guide ?,Accessibility Guidance>Using the accessibility menu>Accessibility Shortcuts menu,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=144#manual,"Press and hold the VOL button to display the Accessibility Shortcuts menu. The Accessibility Shortcuts menu allows you to turn Voice Guide and other Accessibility functions on or off. Voice Guide speaks the names of the menu items displayed on the screen so that people who cannot see the screen can easily use the TV. The menu contains a number of items including: Voice Guide: This function works on every screen on the TV and when turned on speaks to identify items displayed on screen. For example, it tells you the selected volume, the current channel and program information. It also reads out the program information in the Electronic Program Guide (EPG)."
226,Why the TV smells of plastic?,Troubleshooting>Other Issues,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=116#manual,Use these procedures to resolve other issues that may occur. This smell is normal and will dissipate over time.
288,How can I view which program I watched recently?,Accessibility Guidance>Using Smart Hub>Smart Hub,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=161#manual,"Learn how to open Smart Hub to access apps, games, movies, and more. After pressing the button on your remote control, you can surf the web and download apps with Smart Hub. Press the button on your remote. This will bring up a display with 2 rows. Try moving the focus to Live TV or another item on the bottom row. The options on the top row change depending on the item selected in the bottom row. The buttons to the right of Live TV provide quick access to apps such as Netflix and Amazon. Currently, many of these apps are not accessible with Voice Guide. Use the left and right directional buttons to move between a menu or apps on a row and the up and down directional buttons to move between rows. Press Select to access a menu or apps. When you open Smart Hub, you will be on Live TV or TV PLUS. Press the up directional button to move to the top row. You will be on the Guide item. The items in this row are: To the right of Schedule Manager or Recordings, you can see the programs you viewed most recently and the programs that are currently broadcasting on other channels. To go to one of those channels, move to it, and then press the Select button."
309,Please provide some instructions on how to schedule program?,TV Viewing>Viewing Broadcast Information at a Glance>Using the guide,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=76#manual,"Live TV>Guide. The image on your TV may differ from the image above depending on the model and geographical area. In the Guide, you can see the daily program schedules for each broadcaster, see program information, choose a program to watch, and set up a scheduled viewing or recording. In the Guide, you can see only the TV programs scheduled after the current time. The Guide also appears when you press the CH button while watching TV. To see information about analog channels and use the analog channel functions of the Guide, you must finish the service provider settings in initial setup. To view the Guide, you must first set the TV's clock ( Settings>General>System Manager>Time>Clock). To start Scheduled viewing, Scheduled recording, and other function for a program listed in the Guide, first move the cursor to it and then press and hold Select button on the remote control to use follows functions: Schedule Viewing: You can schedule viewing of a broadcast scheduled program. For more information about watching or Schedule Viewing, refer to 'Setting Up a Schedule Viewing.'"
647,What to do if I hear no sound?,Troubleshooting>I Can't Hear the Sound Clearly>Testing the sound,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=111#manual,"When the TV has difficulties with sound, these steps may help resolve the problem. Settings>Support>Self Diagnosis>Start Sound Test. If the TV plays the Start Sound Test melody without distortion, there may be a problem with an external device or the broadcast signal's strength. Check whether the Digital Output Audio Format is set to Dolby Digital+. If you are using a receiver that does not support Dolby Digital Plus, you will hear no sound when you select Dolby Digital+. Settings>Sound>Expert Settings>Digital Output Audio Format>Dolby Digital+."
164, TV audio is not being played through the receiver. What should I do?,Troubleshooting>Anynet+ (HDMI-CEC) Isn't Working,https://www.manualslib.com/manual/1368844/Samsung-Smart-Remote.html?page=114#manual,"When Anynet+ (HDMI-CEC) isn't working, these steps may help resolve the problem. Make sure that the receiver is connected to the TV's HDMI (ARC) port with an HDMI cable. Confirm that the receiver is HDMI (ARC) compatible. If the receiver is not HDMI (ARC) compatible, connect the TV and receiver with an optical cable."
